data,exam_period,screen_time
2021-07-02,True,79.0
2021-07-03,True,80.0
2021-07-04,True,81.0
2021-07-05,True,71.0
2021-07-06,True,78.0
2021-07-07,True,75.0
2021-07-08,True,75.0
2021-07-09,True,100.0
2021-07-10,True,131.0
2021-07-11,True,47.0
2021-07-12,True,71.0
2021-07-13,True,73.0
2021-07-14,True,73.0
2021-07-15,True,71.0
2021-07-16,True,95.0
2021-07-17,True,85.0
2021-07-18,True,72.0
2021-07-19,True,85.0
2021-07-20,True,82.0
2021-07-21,True,77.0
2021-07-22,True,101.0
2021-07-23,True,75.0
2021-07-24,True,87.0
2021-07-25,True,115.0
2021-07-26,True,81.0
2021-07-27,True,82.0
2021-07-28,True,57.0
2021-07-29,True,83.0
2021-07-30,True,101.0
2021-07-31,True,73.0
2021-08-01,True,80.0
2021-08-02,True,81.0
2021-08-03,True,31.0
2021-08-04,True,74.0
2021-08-05,True,73.0
2021-08-06,True,72.0
2021-08-07,True,81.0
2021-08-08,True,82.0
2021-08-09,True,84.0
2021-08-10,True,78.0
2021-08-11,True,117.0
2021-08-12,True,82.0
2021-08-13,True,84.0
2021-08-14,True,80.0
2021-08-15,True,71.0
2021-08-16,True,78.0
2021-08-17,True,82.0
2021-08-18,True,103.0
2021-08-19,True,105.0
2021-08-20,True,81.0
2021-08-21,True,84.0
2021-08-22,True,81.0
2021-08-23,True,76.0
2021-08-24,True,70.0
2021-08-25,True,77.0
2021-08-26,True,70.0
2021-08-27,True,79.0
2021-08-28,True,81.0
2021-08-29,True,82.0
2021-08-30,True,61.0
2021-08-31,True,38.0
2021-09-01,True,79.0
2021-09-02,True,126.0
2021-09-03,True,85.0
2021-09-04,True,73.0
2021-09-05,True,74.0
2021-09-06,True,72.0
2021-09-07,True,49.0
2021-09-08,True,
2021-09-09,True,
2021-09-10,True,
2021-09-11,True,
2021-09-12,True,83.0
2021-09-13,True,70.0
2021-09-14,True,73.0
2021-09-15,True,71.0
2021-09-16,False,214.0
2021-09-17,False,140.0
2021-09-18,False,150.0
2021-09-19,False,149.0
2021-09-20,False,157.0
2021-09-21,False,
2021-09-22,False,
2021-09-23,False,
2021-09-24,False,
2021-09-25,False,164.0
2021-09-26,False,151.0
2021-09-27,False,157.0
2021-09-28,False,148.0
2021-09-29,False,158.0
2021-09-30,False,172.0
2021-10-01,False,155.0
2021-10-02,False,149.0
2021-10-03,False,153.0
2021-10-04,False,157.0
2021-10-05,False,136.0
2021-10-06,False,161.0
2021-10-07,False,141.0
2021-10-08,False,156.0
2021-10-09,False,157.0
2021-10-10,False,135.0
2021-10-11,False,154.0
2021-10-12,False,135.0
2021-10-13,False,128.0
2021-10-14,False,142.0
2021-10-15,False,140.0
2021-10-16,False,144.0
2021-10-17,False,160.0
2021-10-18,False,98.0
2021-10-19,False,128.0
2021-10-20,False,151.0
2021-10-21,False,158.0
2021-10-22,False,151.0
2021-10-23,False,182.0
2021-10-24,False,141.0
2021-10-25,False,172.0
2021-10-26,False,134.0
2021-10-27,False,140.0
2021-10-28,False,133.0
2021-10-29,False,149.0
2021-10-30,False,181.0
2021-10-31,False,136.0
2021-11-01,False,174.0
2021-11-02,False,152.0
2021-11-03,False,198.0
2021-11-04,False,164.0
2021-11-05,False,136.0
2021-11-06,False,161.0
2021-11-07,False,153.0
2021-11-08,False,153.0
2021-11-09,False,151.0
2021-11-10,False,156.0
2021-11-11,False,162.0
2021-11-12,False,160.0
2021-11-13,False,135.0
2021-11-14,False,197.0
2021-11-15,False,164.0
2021-11-16,False,152.0
2021-11-17,False,138.0
2021-11-18,False,156.0
2021-11-19,False,148.0
2021-11-20,False,140.0
2021-11-21,False,111.0
2021-11-22,False,154.0
2021-11-23,False,137.0
2021-11-24,False,145.0
2021-11-25,False,156.0
2021-11-26,False,149.0
2021-11-27,False,152.0
2021-11-28,False,153.0
2021-11-29,False,144.0
2021-11-30,False,117.0
2021-12-01,False,143.0
2021-12-02,False,140.0
2021-12-03,False,141.0
2021-12-04,False,136.0
2021-12-05,False,89.0
2021-12-06,False,147.0
2021-12-07,False,159.0
2021-12-08,False,186.0
2021-12-09,False,182.0
2021-12-10,False,139.0
2021-12-11,False,152.0
2021-12-12,False,155.0
2021-12-13,False,163.0
2021-12-14,False,187.0
2021-12-15,True,119.0
2021-12-16,True,153.0
2021-12-17,True,111.0
2021-12-18,True,112.0
2021-12-19,True,108.0
2021-12-20,True,104.0
2021-12-21,True,106.0
2021-12-22,True,114.0
2021-12-23,True,112.0
2021-12-24,True,108.0
2021-12-25,True,104.0
2021-12-26,True,102.0
2021-12-27,True,104.0
2021-12-28,True,107.0
2021-12-29,True,108.0
2021-12-30,True,108.0
2021-12-31,True,110.0
2022-01-01,True,100.0
2022-01-02,True,87.0
2022-01-03,True,148.0
2022-01-04,True,108.0
2022-01-05,True,103.0
2022-01-06,True,112.0
2022-01-07,True,59.0
2022-01-08,True,114.0
2022-01-09,True,112.0
2022-01-10,True,111.0
2022-01-11,True,112.0
2022-01-12,True,106.0
2022-01-13,True,109.0
2022-01-14,True,87.0
2022-01-15,True,105.0
2022-01-16,True,131.0
2022-01-17,True,109.0
2022-01-18,True,110.0
2022-01-19,True,109.0
2022-01-20,True,114.0
2022-01-21,True,90.0
2022-01-22,True,104.0
2022-01-23,True,
2022-01-24,True,
2022-01-25,True,
2022-01-26,True,
2022-01-27,True,
2022-01-28,True,
2022-01-29,True,101.0
2022-01-30,True,111.0
2022-01-31,True,111.0
2022-02-01,True,97.0
2022-02-02,True,124.0
2022-02-03,True,115.0
2022-02-04,True,123.0
2022-02-05,True,146.0
2022-02-06,True,108.0
2022-02-07,True,105.0
2022-02-08,True,106.0
2022-02-09,True,111.0
2022-02-10,True,114.0
2022-02-11,True,114.0
2022-02-12,True,112.0
2022-02-13,True,109.0
2022-02-14,True,102.0
2022-02-15,True,106.0
2022-02-16,True,105.0
2022-02-17,True,104.0
2022-02-18,True,112.0
2022-02-19,True,64.0
2022-02-20,True,97.0
2022-02-21,True,106.0
2022-02-22,True,115.0
2022-02-23,True,103.0
2022-02-24,True,113.0
2022-02-25,True,107.0
2022-02-26,True,112.0
2022-02-27,True,100.0
2022-02-28,True,113.0
2022-03-01,True,72.0
2022-03-02,True,108.0
2022-03-03,True,111.0
2022-03-04,True,114.0
2022-03-05,True,111.0
2022-03-06,True,128.0
2022-03-07,True,74.0
2022-03-08,True,140.0
2022-03-09,True,102.0
2022-03-10,True,116.0
2022-03-11,True,108.0
2022-03-12,True,108.0
2022-03-13,True,111.0
2022-03-14,True,100.0
2022-03-15,True,100.0
2022-03-16,False,194.0
2022-03-17,False,195.0
2022-03-18,False,143.0
2022-03-19,False,183.0
2022-03-20,False,156.0
2022-03-21,False,167.0
2022-03-22,False,191.0
2022-03-23,False,165.0
2022-03-24,False,186.0
2022-03-25,False,193.0
2022-03-26,False,169.0
2022-03-27,False,211.0
2022-03-28,False,197.0
2022-03-29,False,183.0
2022-03-30,False,193.0
2022-03-31,False,176.0
2022-04-01,False,178.0
2022-04-02,False,171.0
2022-04-03,False,147.0
2022-04-04,False,201.0
2022-04-05,False,187.0
2022-04-06,False,170.0
2022-04-07,False,167.0
2022-04-08,False,167.0
2022-04-09,False,187.0
2022-04-10,False,184.0
2022-04-11,False,166.0
2022-04-12,False,185.0
2022-04-13,False,184.0
2022-04-14,False,142.0
2022-04-15,False,187.0
2022-04-16,False,176.0
2022-04-17,False,192.0
2022-04-18,False,185.0
2022-04-19,False,171.0
2022-04-20,False,191.0
2022-04-21,False,174.0
2022-04-22,False,183.0
2022-04-23,False,170.0
2022-04-24,False,153.0
2022-04-25,False,178.0
2022-04-26,False,184.0
2022-04-27,False,178.0
2022-04-28,False,191.0
2022-04-29,False,184.0
2022-04-30,False,188.0
2022-05-01,False,109.0
2022-05-02,False,178.0
2022-05-03,False,173.0
2022-05-04,False,195.0
2022-05-05,False,191.0
2022-05-06,False,
2022-05-07,False,
2022-05-08,False,
2022-05-09,False,
2022-05-10,False,198.0
2022-05-11,False,178.0
2022-05-12,False,128.0
2022-05-13,False,167.0
2022-05-14,False,150.0
2022-05-15,False,171.0
2022-05-16,False,167.0
2022-05-17,False,184.0
2022-05-18,False,165.0
2022-05-19,False,138.0
2022-05-20,False,188.0
2022-05-21,False,183.0
2022-05-22,False,170.0
2022-05-23,False,167.0
2022-05-24,False,167.0
2022-05-25,False,142.0
